,titles,images,ratings,prices
18,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3 mon Game Pass/Grey/1.6Kg), 83EM008GIN",https://m.media-amazon.com/images/I/81epBowa4UL._AC_UY218_.jpg,4.0 out of 5 stars,"₹64,990"
19,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Thin and Light Metal Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel UHD Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG",https://m.media-amazon.com/images/I/51KL3aOZ0tL._AC_UY218_.jpg,4.0 out of 5 stars,"₹30,990"
20,"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14""(35.5cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/MSO 21/Backlit KB/FHD Camera/1Yr ADP Free/Alexa/3 Month Game Pass/Cloud Grey/1.46Kg), 82XD003MIN",https://m.media-amazon.com/images/I/71efWGTn99L._AC_UY218_.jpg,3.7 out of 5 stars,"₹66,490"
21,"MSI Thin 15, Intel 13th Gen. Core i7-13620H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB /Cosmos Gray/1.86Kg), B13UCX-1806IN",https://m.media-amazon.com/images/I/71W7yVCqsWL._AC_UY218_.jpg,1.0 out of 5 stars,"₹67,990"
22,"ASUS Vivobook 16, Intel®Core™ i3-1215U 12th Gen, 16"" (40.64 cm) FHD+, Thin and Light Laptop (16 GB RAM/512GB SSD/Win11/FingerPrint/Black/1.88kg), X1605ZAB-MB342WS",https://m.media-amazon.com/images/I/71H0ts9zqqL._AC_UY218_.jpg,3.9 out of 5 stars,"₹39,990"
23,"ASUS TUF F15 Gaming Laptop, Intel Core i5-11400H 11th Gen, 15.6-inch (39.62 cm) FHD 144Hz,(16GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 2050/Windows 11/ RGB Backlit KB/Black/2.30 kg), FX506HF-HN025W",https://m.media-amazon.com/images/I/71l1MOx3Q+L._AC_UY218_.jpg,3.9 out of 5 stars,"₹50,990"
24,"Dell [Smartchoice]15 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/ 8GB + 512GB SSD/Intel UHD Graphics/15""(38 cm)FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant KB/Black/1.48kg",https://m.media-amazon.com/images/I/51V2OoArdZL._AC_UY218_.jpg,3.8 out of 5 stars,"₹35,990"
25,"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,3.9 out of 5 stars,"₹34,990"
26,"HP Laptop 15, 12th Gen i3-1215U, 15.6-inch (39.6 cm), FHD, Anti-Glare, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Dual Speakers, (Win 11, MSO 2021, Silver, 1.69 kg), 15s-fy5006TU",https://m.media-amazon.com/images/I/61V9Ju8FT2L._AC_UY218_.jpg,4.1 out of 5 stars,"₹35,999"
27,"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon Black/1.62kg",https://m.media-amazon.com/images/I/51DM9EQmtOL._AC_UY218_.jpg,3.8 out of 5 stars,"₹40,990"
28,"ASUS Vivobook 14 Thin and Light Laptop, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS",https://m.media-amazon.com/images/I/71Or7JT0+6L._AC_UY218_.jpg,3.9 out of 5 stars,"₹34,990"
29,"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU",https://m.media-amazon.com/images/I/61Q1LTYz-rL._AC_UY218_.jpg,4.0 out of 5 stars,"₹42,990"
30,"MSI Modern 14, Intel 12Th Gen. I3 1215U,36Cm Laptop(8Gb/512Gb Nvme Ssd/Windows 11 Home/Uhd Graphic/Classic Black/1.4Kg),C12Mo-1205In",https://m.media-amazon.com/images/I/71DRfT-xl2L._AC_UY218_.jpg,4.5 out of 5 stars,"₹28,990"
31,"HP Laptop 255 G9 (2024), AMD Athlon Silver 3050U - (4GB/256GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg/MS Office 2021 Pro Plus",https://m.media-amazon.com/images/I/71RTGKgUGeL._AC_UY218_.jpg,5.0 out of 5 stars,"₹21,800"
32,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR 4GB /Cosmos Gray/1.86Kg), B12UCX-1695IN",https://m.media-amazon.com/images/I/71VG3azYMjL._AC_UY218_.jpg,3.6 out of 5 stars,"₹48,990"
33,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen,Thin and Light Laptop,15.6"" (39.62 cm) FHD, (8GB RAM/512GB/Windows11/Office 2021/Blue/1.7 kg), X1502ZA-EJ523WS",https://m.media-amazon.com/images/I/712nnWmCgXL._AC_UY218_.jpg,3.9 out of 5 stars,"₹47,990"
34,"Acer One 14 AMD Ryzen 3 3250U Processor (8GB RAM/512GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Laptop Z2-493 with 35.56 cm (14.0"") HD Display",https://m.media-amazon.com/images/I/81Xvvl-36aL._AC_UY218_.jpg,3.8 out of 5 stars,"₹24,990"
35,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,4.0 out of 5 stars,"₹33,990"
36,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black",https://m.media-amazon.com/images/I/61vGumezioL._AC_UY218_.jpg,3.5 out of 5 stars,"₹13,890"
37,"(Refurbished)Lenovo ThinkPad L450 5th Gen Intel Core i3 Thin & Light HD Laptop (4 GB RAM/128 GB SSD/14"" (35.6 cm)/Windows 10/MS Office/Wifi/Bluetooth 4.0/Webcam/Integrated Graphics)",https://m.media-amazon.com/images/I/51c+2g9LdDL._AC_UY218_.jpg,3.4 out of 5 stars,"₹10,999"
38,"Walker Thin & Light Laptop, (4GB Ram,128GB SSD) |14.1 inch FHD IPS Display |1920 *1080 Resolution | Gemini Lake N4020 | UHD Graphics 600| Mini-HDMI| Bluetooth| Webcam | Windows 11 Home | Cloud Silver",https://m.media-amazon.com/images/I/61KqvioaXWL._AC_UY218_.jpg,3.6 out of 5 stars,"₹12,990"
39,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,4.1 out of 5 stars,"₹39,990"
40,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG",https://m.media-amazon.com/images/I/71czGb00k5L._AC_UY218_.jpg,3.8 out of 5 stars,"₹39,990"
41,"Acer Aspire 5 Gaming Laptop 13th Gen Intel Core i5(16GB RAM/512GB SSD/NVIDIA RTX 2050 4GB Graphics/144Hz/Win11Home)A515-58GM 15.6"" FHD Display, Steel Gray, Backlit Keyboard, Fingerprint Reader, 1.78KG",https://m.media-amazon.com/images/I/61s-dofl3DL._AC_UY218_.jpg,4.0 out of 5 stars,"₹52,990"
42,"Dell 14 Thin & Light Laptop, Intel Core i5-1235U Processor, 8GB + 512GB SSD, 14.0"" (35.62cm) FHD AG 250 nits Display, Windows 11 + MSO'21 & 15 Month McAfee, Grey, Spill-Resistant Keyboard, 1.48kg",https://m.media-amazon.com/images/I/71tSrDl1TaL._AC_UY218_.jpg,3.6 out of 5 stars,"₹45,990"
43,"HONOR MagicBook X14 Pro 2024, 13th Gen Intel Core i5-13420H (8GB/512GB NVMe SSD, 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.4Kg), Gray",https://m.media-amazon.com/images/I/61wluutkEyL._AC_UY218_.jpg,4.2 out of 5 stars,"₹44,990"
44,"MSI Thin 15, Intel Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB /Cosmos Gray/1.86Kg), B13UCX-1808IN",https://m.media-amazon.com/images/I/71VG3azYMjL._AC_UY218_.jpg,5.0 out of 5 stars,"₹53,990"
45,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB RAM/512GB/Win11/Office 2021/Silver/1.7 kg), X1502ZA-EJ542WS",https://m.media-amazon.com/images/I/71FtdqEC1BL._AC_UY218_.jpg,3.9 out of 5 stars,"₹47,990"
46,"ASUS Vivobook 15 Thin and Light Laptop,Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, (16GB RAM/512GB/Win11/Office 2021/Blue/1.7 kg), X1502ZA-EJ541WS",https://m.media-amazon.com/images/I/712nnWmCgXL._AC_UY218_.jpg,3.9 out of 5 stars,"₹47,990"
47,"ASUS Vivobook Go 15, Intel Celeron N4500, 15.6""(39.62cm) FHD 16:9 60 Hz, Thin & Light Laptop (8GB RAM/512 SSD/Intel HD Graphics/Win 11/Office 2021/Fingerprint Sensor/Star Black/1.57 Kg),E510KA-EJ011WS",https://m.media-amazon.com/images/I/71rFlqSQ5NL._AC_UY218_.jpg,3.9 out of 5 stars,"₹24,990"
48,"HP Laptop 15s, Intel Celeron N4500, 15.6-inch (39.6 cm), HD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, 720p HD Camera, Thin & Light, Dual Speakers (Win 11, Black, 1.65 kg), fq3066TU",https://m.media-amazon.com/images/I/71LhzW4cznL._AC_UY218_.jpg,3.1 out of 5 stars,"₹27,529"
49,"(Refurbished) Lenovo ThinkPad L480 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel Graphics)",https://m.media-amazon.com/images/I/61pBGWvM8EL._AC_UY218_.jpg,3.3 out of 5 stars,"₹18,745"
50,"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/DOS/Iron Grey/1.65 Kg)",https://m.media-amazon.com/images/I/41U0mEisocL._AC_UY218_.jpg,4.2 out of 5 stars,"₹40,790"
51,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), eq2212AU",https://m.media-amazon.com/images/I/61jenAU2bkL._AC_UY218_.jpg,4.1 out of 5 stars,"₹31,999"
52,"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ542WS",https://m.media-amazon.com/images/I/71Got5ZZBLL._AC_UY218_.jpg,3.9 out of 5 stars,"₹39,990"
53,"Acer [Smartchoice] Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG",https://m.media-amazon.com/images/I/61keRkmSGBL._AC_UY218_.jpg,3.9 out of 5 stars,"₹28,990"
54,"ASUS TUF F17 Gaming Laptop, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) 144Hz, (8GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 2050/Windows 11/ RGB Backlit KB/Black/2.30 kg), FX706HF-HX018W",https://m.media-amazon.com/images/I/816M6yAx34L._AC_UY218_.jpg,3.9 out of 5 stars,"₹48,990"
55,"HONOR MagicBook X16 Pro 2024, 13th Gen Intel Core i5-13420H (16GB/512GB NVMe SSD, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.75Kg), Gray",https://m.media-amazon.com/images/I/61v6prN3QrL._AC_UY218_.jpg,4.2 out of 5 stars,"₹53,990"
56,"HP Laptop 15, Intel Core i5-1334U, 15.6-inch(39.6 cm), FHD, 16GB DDR4, 512GB SSD, Audio by B&O; Dual Speakers, Windows 11 Home, Silver, 1.59 kg, 15-fd0221TU",https://m.media-amazon.com/images/I/615vQ5Q36OL._AC_UY218_.jpg,3.6 out of 5 stars,"₹55,490"
57,"Lenovo V15 Portable Laptop, 15.6"" FHD Anti-Glare Display, Business and Everyday Use, Intel Dual Core Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",https://m.media-amazon.com/images/I/71xkIYioQzL._AC_UY218_.jpg,4.2 out of 5 stars,"₹24,990"
58,"HP Laptop 15, 13th Gen Intel Core i3-1315U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Thin & light, Intel Iris Xᵉ graphics, Dual speakers (Win 11, MSO 2021, Silver, 1.59 kg), fd0006TU",https://m.media-amazon.com/images/I/516kwMDve7L._AC_UY218_.jpg,3.7 out of 5 stars,"₹40,980"
59,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR 4GB /Cosmos Gray/1.86Kg), B12UCX-1695IN",https://m.media-amazon.com/images/I/71VG3azYMjL._AC_UY218_.jpg,3.6 out of 5 stars,"₹48,990"
60,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i3-1215U 14 Inch (35.5cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.43Kg), 82RJ00FGIN",https://m.media-amazon.com/images/I/81+SKGgJ9yL._AC_UY218_.jpg,4.1 out of 5 stars,"₹33,990"
61,"Chuwi HeroBook Plus 15.6"" FHD Laptop, Intel Celeron N4020 Dual Core Processor Upto 2.80GHz, 8GB RAM, 256GB SSD, Intel UHD Graphics, Windows 11,WiFi 6,Webcam,BT 5.2,HDMI Port,38Wh, 1.74kg (Iron Gray)",https://m.media-amazon.com/images/I/51UokZiFr6L._AC_UY218_.jpg,3.9 out of 5 stars,"₹18,990"
62,"(Renewed) DELL Latitude 5490 Core i5 7th Gen Laptop, 16 GB RAM, 512GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim",https://m.media-amazon.com/images/I/418cc1MvF1L._AC_UY218_.jpg,3.6 out of 5 stars,"₹19,990"
63,"Acer ALG 13th Gen Intel Core i7 Gaming Laptop (16GB DDR4/512GB SSD/6GB RTX 3050 Graphics/144Hz/Win11Home/Wifi 6) AL15G-53, 39.62cm (15.6 inch) FHD Display, Premium Metal Body, Steel Gray, 1.99KG",https://m.media-amazon.com/images/I/61TeuJCIVcL._AC_UY218_.jpg,No Rating,"₹71,990"
64,"ASUS Vivobook 14, IntelCore i3-1215U 12th Gen, Thin and Light Laptop, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows11/Office 2021/Fingerprint/42WHr /Silver/1.40 kg), X1404ZA-NK322WS",https://m.media-amazon.com/images/I/710KmtADW2L._AC_UY218_.jpg,3.9 out of 5 stars,"₹34,990"
65,"Dell 15 Thin & Light Laptop, Core i5-1235U Processor, 8GB RAM + 512GB SSD, 15.6"" FHD Window 11 + MSO '21, 15 Month McAfee, Spill-Resistant Keyboard, Black, 1.66kg",https://m.media-amazon.com/images/I/51yQPG4rftL._AC_UY218_.jpg,3.6 out of 5 stars,"₹47,990"
66,"MSI Thin 15, Intel 12th Gen. Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB /Cosmos Gray/1.86Kg), B12UC-1692IN",https://m.media-amazon.com/images/I/71VG3azYMjL._AC_UY218_.jpg,4.4 out of 5 stars,"₹54,990"
67,"ASUS TUF Gaming F17, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 165Hz, Gaming Laptop (16GB/512GB SSD/4GB NVIDIA GeForce RTX 2050/Win 11/ RGB Backlit KB/Black/2.60 kg), FX706HF-NY040W",https://m.media-amazon.com/images/I/817bs-vUENL._AC_UY218_.jpg,3.6 out of 5 stars,"₹50,990"
68,"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (4GB/256GB SDD/Windows 11 Home/1Yr ADP Free/Cloud Grey/1.3Kg), 82V6005CIN",https://m.media-amazon.com/images/I/71DpS8yemAL._AC_UY218_.jpg,3.7 out of 5 stars,"₹18,990"
69,"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon graphics, Backlit KB, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU",https://m.media-amazon.com/images/I/61I9NhqStDL._AC_UY218_.jpg,4.0 out of 5 stars,"₹47,516"
70,"ASUS Vivobook 14X OLED, Intel Core i5-13500H 13th Gen, 14"" (35.56 cm) 2.8K 90Hz OLED, Creator/Gaming Laptop (16 GB RAM/512 SSD/4GB GeForce RTX 3050/Win11//Backlit//Silver/1.45 kg),K3405VCB-KM541WS",https://m.media-amazon.com/images/I/717zBNq4ltL._AC_UY218_.jpg,3.5 out of 5 stars,"₹69,990"
71,"HP Laptop 15,12th Gen Intel Core i3-1215U,15.6 inch(39.6 cm),FHD,Anti-Glare,8 GB DDR4,512 GB SSD,Windows 11,MSO,Dual Speakers,1.69 kg,Natural Silver,15s-fq5326TU",https://m.media-amazon.com/images/I/71bQz2GzvUL._AC_UY218_.jpg,3.7 out of 5 stars,"₹36,490"
72,"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/1Yr ADP Free/3months Game Pass/Arctic Grey/1.63Kg), 82RK00VTIN",https://m.media-amazon.com/images/I/81+SKGgJ9yL._AC_UY218_.jpg,4.0 out of 5 stars,"₹34,990"
73,"(Renewed) DELL Latitude 5490 Core i5 8th Gen Laptop, 16 GB RAM, 512GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim",https://m.media-amazon.com/images/I/615te9wVfzL._AC_UY218_.jpg,3.1 out of 5 stars,"₹22,499"
74,"ASUS TUF Gaming A15, Ryzen 7 7435HS, 15.6-inch (39.62 cm) FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/48WHr/Graphite Black/2.3 Kg), FA506NCR-HN054W",https://m.media-amazon.com/images/I/71EX6krvYLL._AC_UY218_.jpg,4.2 out of 5 stars,"₹65,990"
75,"Chuwi CoreBook X i5 14"" Laptop, 16GB RAM 512GB SSD, Windows 11, Intel Core i5-1035G1, WiFi 6, USB3.2, Backlit Keyboard, Webcam, Bluetooth 5.2, HDMI Port, 46.2 Wh, 1.4kg (Gray)",https://m.media-amazon.com/images/I/51VLR8NL9vL._AC_UY218_.jpg,3.9 out of 5 stars,"₹24,990"
76,"HONOR MagicBook X16 Pro 2024, 13th Gen Intel Core i5-13420H (8GB/512GB NVMe SSD, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.75Kg), Gray",https://m.media-amazon.com/images/I/61v6prN3QrL._AC_UY218_.jpg,4.2 out of 5 stars,"₹46,990"
77,"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-1334U Processor, 16GB, 512GB SSD, 15.6""(39.62cm) FHD 120Hz 250 nits, Backlit KB, Windows 11 + Mso'21 & 15 Month McAfee, Silver, Thin & Light- 1.62kg",https://m.media-amazon.com/images/I/71tSrDl1TaL._AC_UY218_.jpg,3.7 out of 5 stars,"₹55,990"
